PointID,SiteID,Easting,Northing,Altitude,OSEWellID,HoleDepth,WellDepth,FormationZone,ObjectID,x,y
AH-032,,437881,4042022,6919.84,RG-42980,440,440,,1221,-105.693836,36.52155285
WL-0112,,441457,4050332,7341,?,,,112QTBF,1222,-105.6545285,36.59668908
TV-235,,445894,4021455,7028.9,RG-62881 POD3,225,220,122CRTO,1223,-105.6029057,36.33663257
WL-0134,,322954,3767622,4836.92,?,,,112SNTFP,1224,-106.9178119,34.03434284
UC-0083,3.6392E+14,611799,4057446,6346.26,X,268,268,211DKOT,1225,-103.7491437,36.65605035
QY-0440,,650177,3912820,3960,,320,320,231SNRS,1226,-103.347325,35.34738095
WL-0064,,259430,3645382,5268.52,X,,,111ALVM,1227,-107.5726005,32.92025259
SD-0067,,391488,3863710,6607.99,X,200,200,325MDER,1228,-106.1878327,34.91003947
PC-005,,369152,3908096,5824.4,X,90,90,,1229,-106.4392895,35.30751929
SA-0212,,253770,3726587,6559.1,RG-70500,295,295,112QTBFpd,1230,-107.6551519,33.65067653
BW-0426,,398526,3626200,4035,,,40,110ALVM,1231,-106.0834297,32.76902289
ED-0161,,534528,3578400,4277,,,68,313CKBF,1232,-104.6330937,32.34196938
SM-0050,,436868,3645647,8598.76,PN-00883?,450,450,300YESO,1233,-105.6754189,32.94730516
SD-0051,,382159,3866630,7465.45,X,256,256,325MDER,1234,-106.2903423,34.93532315
QY-0158,,599418,3891320,4160,,55,55,221MRSN/220ENRD,1235,-103.9084116,35.15989669
BW-0021,,359395,3585020,4260,,,900,110ALVM,1236,-106.4949417,32.39335748
AR-0063,,235309,4083430,5668.603,X,,,,1237,-107.9690458,36.85975443
HS-082,,289528,3667839,4240.3,X,105,105,,1238,-107.2561249,33.12887486
TO-0229,,399713,3846100,6190,,,,112QTBF,1239,-106.0957078,34.75211366
SA-0053,3.3541E+14,213052,3755730,6844.69,X,,,112QTBFlac,1240,-108.1031588,33.90293532
SD-0316,,371161,3905300,6608.18,X,150,150,325MDER,1241,-106.416758,35.28257644
SM-0216,,478559,3667718,5852.23,X,,,300YESO,1242,-105.229916,33.14800582
SM-0231,,472108,3653950,5868.66,X,207,207,300YESO_upper,1243,-105.2986677,33.02366976
BW-0178,,400205,3663350,4360,,,,110ALVM,1244,-106.0695316,33.10422876
SA-0059,3.35032E+14,193384,3749620,6884.77,X,221,221,123SPRSlower,1245,-108.3134243,33.84238204
MI-0238,,485917,3953436,6721.98,,,330,211GRRG/211DKOT/217PRGR,1246,-105.1557267,35.72480018
NM-23363,3.51448E+14,379991,3901208,6374,RG-74125 CLW,365,365,325MDER,1247,-106.3190866,35.24678663
UC-0086,3.63825E+14,604941,4055340,6524.18,X,280,280,210CRCS,1248,-103.8261477,36.63784986
QY-0675,,592925,3843620,4880,,100,100,121OGLL,1249,-103.9850079,34.73045019
BW-0411,,410455,3630430,4135.25,,,245,110ALVM,1250,-105.9564905,32.80821163
SD-0080,,385318,3875400,7118.95,X,186,186,325MDER,1251,-106.256967,35.0147498
TO-0389,,384662,3873440,7181,,,270,325MDER,1252,-106.2638836,34.99700528
QY-0509,,672267,3942370,4180,,53,53,121OGLL,1253,-103.0980737,35.61011109
TO-0285,,401398,3856770,6190,,,,112QTBF,1254,-106.0785534,34.8484801
QY-0502,,648096,3945040,4550,,230,230,121OGLL,1255,-103.3643414,35.63809187
BW-0746,,239786,3905200,6597.77,,,500,231DCKM,1256,-107.860162,35.25615034
EB-226,3.53906E+14,411497,3945745,6748.02,RG-28465,130,130,121TSUQs,1257,-105.9776863,35.65158721
QY-0813,,630699,3855810,4770,,177,177,121OGLL,1258,-103.5706121,34.83620652
WL-0036,,364401,3899703,6878,RG-84370,520,520,400SAND,1259,-106.490147,35.23123176
